10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 1000
DGraph fileName=./experiments/graphs/real/advogato/advogato.edge
dataset: ./experiments/graphs/real/advogato/advogato.edge with |L|=4 and |V|=5417
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 820992
BFS required index construction time (s): 0.00977002
Method: BFS queryset: 0
*Query 106: (237,21,00000000000000000000000000001000, true), avg=0.00005698204
*Query 107: (237,22,00000000000000000000000000000010, true), avg=0.00037598609
*Query 108: (237,22,00000000000000000000000000001000, true), avg=0.00019256273
*Query 109: (237,23,00000000000000000000000000000010, true), avg=0.00029301643
*Query 110: (237,24,00000000000000000000000000000010, true), avg=0.00030668576
*Query 111: (239,0,00000000000000000000000000000001, true), avg=0.00013184547
*Query 112: (239,0,00000000000000000000000000000010, true), avg=0.00017730394
*Query 113: (239,1,00000000000000000000000000000001, true), avg=0.00012826919
*Query 114: (239,1,00000000000000000000000000000010, true), avg=0.00025963783
*Query 115: (239,2,00000000000000000000000000000001, true), avg=0.00012667973
*Query 116: (239,2,00000000000000000000000000000010, true), avg=0.00030199686
*Query 117: (239,3,00000000000000000000000000000001, true), avg=0.00012866655
*Query 118: (239,3,00000000000000000000000000000010, true), avg=0.00009830792
*Query 119: (239,3,00000000000000000000000000000100, true), avg=0.00005197525
*Query 120: (239,4,00000000000000000000000000000010, true), avg=0.00049169858
*Query 121: (239,5,00000000000000000000000000000001, true), avg=0.00023396809
*Query 122: (239,5,00000000000000000000000000000010, true), avg=0.00019303957
*Query 123: (239,6,00000000000000000000000000000010, true), avg=0.00019097328
*Query 124: (239,6,00000000000000000000000000000100, true), avg=0.00013661384
*Query 125: (239,7,00000000000000000000000000000001, true), avg=0.00017960866
*Query 126: (239,8,00000000000000000000000000000001, true), avg=0.00017865498
*Query 127: (239,10,00000000000000000000000000000100, true), avg=0.00025097529
*Query 128: (239,11,00000000000000000000000000000010, true), avg=0.00035834312
*Query 129: (239,12,00000000000000000000000000000010, true), avg=0.00010832150
*Query 130: (239,13,00000000000000000000000000000001, true), avg=0.00021465619
*Query 131: (239,13,00000000000000000000000000000010, true), avg=0.00017801920
*Query 132: (239,13,00000000000000000000000000000100, true), avg=0.00014837582
*Query 133: (239,14,00000000000000000000000000000010, true), avg=0.00048565864
*Query 134: (239,14,00000000000000000000000000000100, true), avg=0.00011364618
*Query 135: (239,15,00000000000000000000000000000010, true), avg=0.00041000048
*Query 136: (239,15,00000000000000000000000000000100, true), avg=0.00023603439
*Query 137: (292,0,00000000000000000000000000000010, true), avg=0.00026003519
*Query 138: (292,1,00000000000000000000000000000001, true), avg=0.00010999043
*Query 139: (292,1,00000000000000000000000000000010, true), avg=0.00028196970
*Query 140: (292,2,00000000000000000000000000000001, true), avg=0.00011030832
